company_name,time,salary,title,link
Ambercare24,72,,OFERTA NA JUŻ! OPIEKUN MĘŻCZYZNA DO SAMOTNEGO SENIORA!,"https://pl.jooble.org/desc/-7866430226246473?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=313&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=3197,33911132813&scr=3197,33911132813&iid=-678320026679112257"
Ambercare24,72,,SUPER OFERTA OD 15 WRZEŚNIA! OPIEKUNKA DO SPOKOJNEJ SENIORKI! 1350 EURO,"https://pl.jooble.org/desc/-8582400202916357091?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=501&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=1883,62097167969&scr=1883,62097167969&iid=-5781226570624265069"
Ambercare24,72,1300 €,SUPER OFERTA! Opiekunka do mobilnego,"https://pl.jooble.org/desc/4296641158518293086?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=160&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=5589,62353515625&scr=5589,62353515625&iid=-1286570846088690454"
Ambercare24,72,,"OFERTA OD ZARAZ! OPIEKUNKA DO SPOKOJNEGO, MOBILNEGO SENIORA!","https://pl.jooble.org/desc/-4087176639409227267?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=275&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=4259,69482421875&scr=4259,69482421875&iid=-533105901614913299"
Ambercare24,96,,SUPER OFERTA OD ZARAZ! OPIEKUNKA DO SENIORA! 1600 EURO NA RĘKĘ,"https://pl.jooble.org/desc/1768736251000726267?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=450&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=1467,90942382813&scr=1467,90942382813&iid=3459031125715817361"
Ambercare24,96,,OFERTA NA PAŹDZIERNIK! OPIEKUNKA DO SPOKOJNEJ SENIORKI! 1300 EURO NA RĘKĘ,"https://pl.jooble.org/desc/7767342053399334325?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=414&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=2186,22045898438&scr=2186,22045898438&iid=6849850137476770955"
Ambercare24,96,,OFERTA OD ZARAZ! OPIEKUNKA DO SAMOTNIE MIESZKAJACEJ SENIORKI!,"https://pl.jooble.org/desc/-3104575164350718337?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=297&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=3518,17993164063&scr=3518,17993164063&iid=-2811975222069077142"
Ambercare24,96,1300 €,Super oferta od zaraz! Opiekunka do mobilnej,"https://pl.jooble.org/desc/4666189910881012117?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=155&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=5759,06640625&scr=5759,06640625&iid=1055918388638833420"
Ambercare24,120,1350 €,Zmianowe zlecenie od 25 'września! Opiekunka do samotnie mieszkającej,"https://pl.jooble.org/desc/-8535183713791639170?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=215&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=3856,36303710938&scr=3856,36303710938&iid=-9122109096736483136"
Ambercare24,120,1300 €,Szukamy od zaraz na 4-6 tygodni Opiekunki do zmianowego zlecenia w okolicach Koblencji! Do opieki mobilna...,"https://pl.jooble.org/desc/-1623374439332909715?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=122&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=4622,056640625&scr=4622,056640625&iid=-513837623551467413"
Ambercare24,120,,OPIEKUNKA DO SENIORKI+ PRAWO JAZDY! WYJAZD OD 21 WRZEŚNIA! 1350 EURO!,"https://pl.jooble.org/desc/-1668944458062115162?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=528&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=1356,66394042969&scr=1356,66394042969&iid=-2291427525850512892"
